Pulse,Sweep,avg FV amplitude (mV)
1,1,22.9390462239585
2,1,14.750162838027
3,1,12.766520027071332
4,1,14.241536070282335
1,2,24.108886563529666
2,2,11.494954504693835
3,2,8.85009765625
4,2,7.629394570055166
1,3,23.905436042696167
2,3,9.765624922389668
3,3,7.3750812249880005
4,3,6.408691192821833
1,4,22.8881834385295
2,4,6.7138671875
3,4,6.205240756874666
4,4,5.9000649101411655
1,5,21.921793619791668
2,5,4.933675052598333
3,5,5.747477126230166
4,5,5.187988223042333
1,6,20.904541015625167
2,6,4.119872969264834
3,6,4.933675067149833
4,6,4.730224473557167
1,7,20.395914791151835
2,7,3.4586588541666665
3,7,4.425048956666834
4,7,4.170735793498833
1,8,20.039876379693666
2,8,2.8991699994851667
3,8,5.645752035585834
4,8,3.8146973238328337
1,9,19.175211666152
2,9,2.9500325908884997
3,9,4.425048886332667
4,9,4.018147728251
1,10,18.9208984375
2,10,3.1026204815134997
3,10,3.763834630566
4,10,3.102620500916
1,11,19.327799479166668
2,11,2.543131549222
3,11,3.2552083624371666
4,11,3.0008952404995006
1,12,18.513997318223165
2,12,2.899169921875
3,12,2.9500326102911667
4,12,3.000895162889
