Pulse,Sweep,Average time to FV (ms)
1,1,2.950000015894568
2,1,3.3166668097177756
3,1,3.341666825612343
4,1,3.8249996185302066
1,2,2.9166666348775183
2,2,3.583333460489859
3,2,3.4333332061767177
4,2,3.5166665395100396
1,3,3.0416666348775183
2,3,3.5416666348774846
3,3,3.5750000953674004
4,3,3.358334032694471
1,4,3.0999999125798485
2,4,3.3250001748402513
3,4,3.358333396911601
4,4,3.3416669845580635
1,5,3.133333373069759
2,5,3.2750003019968346
3,5,3.333333460489867
4,5,3.283333269754999
1,6,3.166666634877519
2,6,3.1333334922790175
3,6,3.2583333333333004
4,6,3.0499999999999736
1,7,3.2250000317891385
2,7,2.449999936421667
3,7,3.3083332061767177
4,7,3.2833335876464567
1,8,3.199999976158138
2,8,3.033333190282151
3,8,3.074999936421676
4,8,3.1333333333332973
1,9,3.208333381017045
2,9,2.3000001589456835
3,9,3.391666857401484
4,9,3.158333587646465
1,10,3.2833333889643312
2,10,2.8250000158945343
3,10,3.0916668256123514
4,10,2.999999491373655
1,11,3.3583333571751868
2,11,2.924999920527109
3,11,3.3500000317891083
4,11,3.133333651224747
1,12,3.3333333412806145
2,12,2.7833333492278585
3,12,3.283333110809293
4,12,2.816666730244915
