Sweep,Pulse 1 to 2 delta V,Pulse 2 to 3 delta V,Pulse 3 to 4 delta V
1,-0.0014750162760416667,-0.0006103516401101666,-0.00040690080883600015
2,-0.0021362303135296665,-0.0007629394531250003,-0.0002034505208331665
3,-0.0028483072916666665,-0.00040690104166650015,-0.0001017252604168332
4,-0.003255208178112834,-0.00025431317044433333,0.0002543131316391667
5,-0.0035603841921935,0.00045776367187500005,-0.00020345044322316679
6,-0.003458658931776833,0.0003051757618473333,0.00010172526041666667
7,-0.0034586588541666665,0.00030517578125,-0.00010172529922166668
8,-0.003458658854166833,0.001831054648695,-0.0014750162566391667
9,-0.003509521561985333,0.0005086263020833334,-0.00035603845026333333
10,-0.0034586588541666665,0.00030517578125,0.000152587890625
11,-0.00335693359375,0.00020345052083333334,5.0862630208333336e-05
12,-0.0033569335161398334,5.0862630208333336e-05,5.0862630208333336e-05
